"FCR","Issue","State","Title","UpdatedAt","URL"
"FCR-0126","126","CLOSED","[FCR-0126] Shared Falcon Web - strategy and school chart-overlay projection contract","2026-08-16T19:50:20Z","https://github.com/raed82iam/Falcon/issues/126"
"FCR-0127","127","CLOSED","[FCR-0127] Shared Falcon Web - on-demand analysis request for instrument outside active universe","2026-08-16T19:50:36Z","https://github.com/raed82iam/Falcon/issues/127"
"FCR-0128","128","CLOSED","[FCR-0128] Shared Falcon Web - dynamic School/Strategy catalog and availability projection","2026-08-16T19:50:51Z","https://github.com/raed82iam/Falcon/issues/128"
"FCR-0130","130","CLOSED","[FCR-0130] Shared Falcon Web - detailed AI asset analysis and multi-strategy/school synthesis contract","2026-08-16T19:51:08Z","https://github.com/raed82iam/Falcon/issues/130"
"FCR-0133","133","CLOSED","[FCR-0133] Shared Falcon Web - customer portfolio positions trades and performance projection contract","2026-08-16T19:51:33Z","https://github.com/raed82iam/Falcon/issues/133"
"FCR-0152","152","CLOSED","[FCR-0152] Shared Falcon Web - authoritative Falcon identity session and MFA boundary","2026-08-18T21:06:23Z","https://github.com/raed82iam/Falcon/issues/152"
"FCR-0169","169","CLOSED","[FCR-0169] Shared Falcon Web - authoritative Falcon OS operational projection for truthful Web presentation","2026-08-17T22:45:15Z","https://github.com/raed82iam/Falcon/issues/169"
"FCR-0173","173","OPEN","[FCR-0173] Shared Falcon Web - Binance presentation-only provider egress","2026-08-19T18:07:54Z","https://github.com/raed82iam/Falcon/issues/173"
"FCR-0174","174","OPEN","[FCR-0174] Shared Falcon Web - Coinbase presentation-only provider egress","2026-08-19T18:08:08Z","https://github.com/raed82iam/Falcon/issues/174"
"FCR-0175","175","OPEN","[FCR-0175] Shared Falcon Web - Bybit presentation-only provider egress","2026-08-19T18:08:21Z","https://github.com/raed82iam/Falcon/issues/175"
"FCR-0176","176","OPEN","[FCR-0176] Shared Falcon Web - Alpaca IEX presentation-only provider egress","2026-08-19T18:23:09Z","https://github.com/raed82iam/Falcon/issues/176"
"FCR-0177","177","OPEN","[FCR-0177] Shared Falcon Web - Finnhub presentation-only provider egress","2026-08-19T18:23:25Z","https://github.com/raed82iam/Falcon/issues/177"
"FCR-0196","196","OPEN","[FCR-0196] Shared Falcon Web - Alpaca US-equity universe presentation-only REST egress","2026-08-19T18:23:40Z","https://github.com/raed82iam/Falcon/issues/196"
"FCR-0197","197","OPEN","[FCR-0197] Shared Falcon Web - Alpaca US-equity historical bars presentation-only REST egress","2026-08-19T18:23:56Z","https://github.com/raed82iam/Falcon/issues/197"
"FCR-0198","198","OPEN","[FCR-0198] Shared Falcon Web - Binance crypto Spot universe presentation-only REST egress","2026-08-19T18:24:09Z","https://github.com/raed82iam/Falcon/issues/198"
"FCR-0199","199","OPEN","[FCR-0199] Shared Falcon Web - Binance crypto Spot historical klines presentation-only REST egress","2026-08-19T18:24:24Z","https://github.com/raed82iam/Falcon/issues/199"
"FCR-0200","200","OPEN","[FCR-0200] Shared Falcon Web - Binance broad-market mini ticker presentation-only WebSocket egress","2026-08-19T18:24:38Z","https://github.com/raed82iam/Falcon/issues/200"
"FCR-0203","203","CLOSED","[FCR-0203] Shared Web - incident affected-position and FSTSimA shadow-monitoring projection semantics","2026-08-16T19:50:03Z","https://github.com/raed82iam/Falcon/issues/203"
"FCR-0220","220","OPEN","[FCR-0220] FSATS - advisory market onboarding, free-provider discovery, chart-source and Owner-action presentation semantics","2026-08-19T18:07:40Z","https://github.com/raed82iam/Falcon/issues/220"
"FCR-0224","224","CLOSED","[FCR-0224] Foundation - Falcon-wide independent AI Kill Control Plane and Safe Core survival","2026-08-17T21:09:08Z","https://github.com/raed82iam/Falcon/issues/224"
"FCR-0225","225","CLOSED","[FCR-0225] Foundation - Shared Web Owner AI Kill control path planning and binding","2026-08-16T19:46:52Z","https://github.com/raed82iam/Falcon/issues/225"
"FCR-0226","226","CLOSED","[FCR-0226] Foundation - Application AI target registration containment and Kill binding planning","2026-08-17T21:09:25Z","https://github.com/raed82iam/Falcon/issues/226"
"FCR-0235","235","CLOSED","[FCR-0235] Shared Falcon Web - Stage 16 identity FIL / Service Bus plug-and-play integration contract","2026-08-18T21:06:39Z","https://github.com/raed82iam/Falcon/issues/235"
"FCR-0237","237","CLOSED","[FCR-0237] Shared Falcon Web - standing Owner pre-approval policy and delegated auto-accept authority contract","2026-08-18T20:56:42Z","https://github.com/raed82iam/Falcon/issues/237"
"FCR-0238","238","CLOSED","[FCR-0238] FSATS to Shared Falcon Web - update classification semantics for Owner standing pre-approval list","2026-08-18T20:56:57Z","https://github.com/raed82iam/Falcon/issues/238"
"FCR-0239","239","CLOSED","[FCR-0239] Shared Falcon Web - Stage 14 operational projection FIL plug-and-play runtime integration contract","2026-08-17T22:45:03Z","https://github.com/raed82iam/Falcon/issues/239"
"FCR-0241","241","CLOSED","[FCR-0241] Shared Falcon Web - standing Owner preapproval and rollback command FIL transport contract","2026-08-18T20:56:31Z","https://github.com/raed82iam/Falcon/issues/241"
"FCR-0242","242","CLOSED","[FCR-0242] Shared Falcon Web - Project Owner permanent FSATS full feature entitlement contract","2026-08-18T21:06:52Z","https://github.com/raed82iam/Falcon/issues/242"
"FCR-0252","252","CLOSED","[FCR-0252] Falcon Application Workstream - pre-live-seal conformance to FDN-006/FDN-007","2026-08-19T06:48:39Z","https://github.com/raed82iam/Falcon/issues/252"
"FCR-0253","253","OPEN","[FCR-0253] Shared Falcon Web Workstream - pre-live-seal conformance to FDN-006/FDN-007","2026-08-19T20:26:04Z","https://github.com/raed82iam/Falcon/issues/253"
"FCR-0254","254","OPEN","[FCR-0254] FSATS Application - Part 11 runtime onboarding admission and registration handoff","2026-08-19T13:43:56Z","https://github.com/raed82iam/Falcon/issues/254"
